orden_id,producto_id,cantidad,precio_unitario
000000000000000000000050,4233,1,199.0
000000000000000000000050,1566,1,479.0
000000000000000000000051,4021,1,199.0
000000000000000000000051,3672,1,129.0
000000000000000000000052,4535,3,219.0
000000000000000000000053,2220,1,499.0
000000000000000000000053,2512,1,199.0
000000000000000000000053,2060,3,999.0
000000000000000000000054,3967,2,299.0
000000000000000000000055,1591,1,849.0
000000000000000000000055,2427,2,30.4
000000000000000000000055,1864,1,2199.0
000000000000000000000055,2957,3,1889.0
000000000000000000000056,1035,3,2850.0
000000000000000000000057,3922,2,529.0
000000000000000000000058,536,2,189.0
000000000000000000000059,4611,2,299.9
00000000000000000000005a,5067,3,95.0
00000000000000000000005a,1849,2,1499.0
00000000000000000000005b,5088,1,65.0
00000000000000000000005c,2168,1,259.0
00000000000000000000005c,5411,1,39.9
00000000000000000000005d,4865,2,41.93
00000000000000000000005d,3850,1,1899.0
00000000000000000000005e,1913,2,799.0
00000000000000000000005f,4462,3,48.0
00000000000000000000005f,1842,1,1249.0
000000000000000000000060,4875,2,69.9
000000000000000000000060,4663,1,179.0
000000000000000000000060,2365,2,109.0
000000000000000000000061,3587,3,12.9
000000000000000000000061,659,1,129.9
000000000000000000000062,5524,3,168.0
000000000000000000000063,1436,3,379.0
000000000000000000000063,3855,3,1899.0
000000000000000000000064,4029,2,93.9
000000000000000000000064,748,2,149.0
000000000000000000000065,5683,2,1399.0
000000000000000000000066,722,2,179.0
000000000000000000000067,10,2,475.0
000000000000000000000067,5388,2,106.0
000000000000000000000067,4445,1,23.9
000000000000000000000068,1668,1,1464.0
000000000000000000000068,2188,2,389.0
000000000000000000000068,4500,2,119.9
000000000000000000000069,1298,1,3999.0
000000000000000000000069,2546,3,299.0
000000000000000000000069,4513,2,42.9
00000000000000000000006a,5307,3,145.53
00000000000000000000006a,1262,3,699.0
00000000000000000000006a,4083,2,290.0
00000000000000000000006a,2391,2,169.0
00000000000000000000006b,1562,3,2369.0
00000000000000000000006c,3400,2,115.0
00000000000000000000006c,2785,1,2389.0
00000000000000000000006c,4160,2,119.9
00000000000000000000006d,3659,2,889.0
00000000000000000000006d,4413,2,25.9
00000000000000000000006d,3968,3,25.0
00000000000000000000006e,1957,2,1299.0
00000000000000000000006e,4685,1,78.9
00000000000000000000006e,3138,2,3369.0
00000000000000000000006e,1914,3,819.0
00000000000000000000006f,304,3,3399.0
00000000000000000000006f,1035,3,2850.0
000000000000000000000070,3744,3,1999.0
000000000000000000000070,126,1,429.0
000000000000000000000071,2172,3,259.0
000000000000000000000071,2774,2,30.9
000000000000000000000071,5106,3,337.9
000000000000000000000072,2595,3,329.0
000000000000000000000073,1924,3,1399.0
000000000000000000000073,5171,2,99.0
000000000000000000000074,824,3,1196.1
000000000000000000000074,3635,2,369.0
000000000000000000000074,1363,1,255.9
000000000000000000000075,2001,2,999.0
000000000000000000000075,4352,3,74.9
000000000000000000000076,5077,2,59.9
000000000000000000000076,5597,3,650.0
000000000000000000000076,1973,1,74.9
000000000000000000000077,3812,3,2079.0
000000000000000000000077,2357,1,78.0
000000000000000000000077,5551,1,69.0
000000000000000000000078,3743,1,749.9
000000000000000000000078,2475,2,190.9
000000000000000000000079,2419,3,99.9
000000000000000000000079,180,2,1299.0
00000000000000000000007a,4070,2,239.0
00000000000000000000007a,2345,1,299.0
00000000000000000000007a,1886,3,1049.0
00000000000000000000007a,4974,1,47.92
00000000000000000000007b,5141,1,259.0
00000000000000000000007b,5295,2,511.9
00000000000000000000007c,2418,2,69.1
00000000000000000000007d,2998,2,4449.0
00000000000000000000007d,4349,1,79.9
00000000000000000000007d,4111,2,190.0
00000000000000000000007e,2775,1,35.0
00000000000000000000007e,944,1,799.0
00000000000000000000007e,3837,1,89.0
00000000000000000000007f,3233,1,599.0
000000000000000000000080,5231,1,924.5
000000000000000000000080,3044,3,2590.0
000000000000000000000081,4998,1,41.9
000000000000000000000082,956,1,2889.0
000000000000000000000082,1146,1,658.0
000000000000000000000083,3717,2,999.0
000000000000000000000084,1266,3,599799.0
000000000000000000000084,3399,1,110.0
000000000000000000000085,3036,1,1649.0
000000000000000000000086,3010,1,4732.0
000000000000000000000086,4461,2,23.9
000000000000000000000086,5283,2,723.35
000000000000000000000086,2939,1,1799.0
000000000000000000000087,5257,3,159.0
000000000000000000000087,5239,1,39.9
000000000000000000000088,4541,1,49.99
000000000000000000000089,4883,1,49.9
000000000000000000000089,24,1,419.0
000000000000000000000089,2272,3,359.0
00000000000000000000008a,2935,1,3899.0
00000000000000000000008b,4310,2,105.9
00000000000000000000008b,932,2,399.0
00000000000000000000008b,521,2,729.0
00000000000000000000008c,5398,2,90.0
00000000000000000000008c,4272,3,109.9
00000000000000000000008c,2471,1,125.0
00000000000000000000008d,3634,1,859.0
00000000000000000000008d,603,2,49.9
00000000000000000000008e,2664,3,329.0
00000000000000000000008e,3121,3,2399.0
00000000000000000000008f,5333,2,959.0
00000000000000000000008f,4517,2,42.9
00000000000000000000008f,1762,1,828.0
000000000000000000000090,2561,3,154.9
000000000000000000000091,700,1,155.9
000000000000000000000092,4805,3,59.9
000000000000000000000092,4601,2,35.0
000000000000000000000093,422,2,580.0
000000000000000000000093,2357,2,78.0
000000000000000000000093,4919,1,90.93
000000000000000000000094,2869,1,74.9
000000000000000000000094,4557,2,94.9
000000000000000000000094,3012,3,4732.0
000000000000000000000095,5389,3,408.0
000000000000000000000096,2876,3,3300.0
000000000000000000000096,51,3,519.0
000000000000000000000096,1487,2,319.0
000000000000000000000096,1174,1,640.0
000000000000000000000097,3440,2,1500.0
000000000000000000000098,431,1,1399.0
000000000000000000000098,1275,3,99.9
000000000000000000000099,3622,2,2549.0
000000000000000000000099,3393,1,729.9
00000000000000000000009a,4859,3,79.9
00000000000000000000009a,3987,3,39.0
00000000000000000000009b,2470,1,334.99
00000000000000000000009c,3528,1,49.9
00000000000000000000009d,2902,3,65.9
00000000000000000000009d,591,1,59.0
00000000000000000000009d,3253,2,979.0
00000000000000000000009e,3314,2,999.0
00000000000000000000009e,5245,2,67.5
00000000000000000000009f,2965,1,2160.0
00000000000000000000009f,722,1,179.0
00000000000000000000009f,3578,2,739.9
0000000000000000000000a0,1816,1,1089.0
0000000000000000000000a0,2729,3,219.0
0000000000000000000000a0,1378,3,3579.0
0000000000000000000000a1,5288,1,511.9
0000000000000000000000a2,5370,1,110.0
0000000000000000000000a3,3678,3,1999.0
0000000000000000000000a3,5580,3,340.0
0000000000000000000000a3,4625,3,77.94
0000000000000000000000a4,3623,3,2099.0
0000000000000000000000a5,3783,2,849.0
0000000000000000000000a6,4154,2,65.0
0000000000000000000000a6,3150,3,4409.0
0000000000000000000000a7,4684,3,78.9
0000000000000000000000a7,5340,2,140.9
0000000000000000000000a7,1543,3,999.0
0000000000000000000000a7,2634,1,140.0
0000000000000000000000a8,691,1,155.9
0000000000000000000000a8,4134,1,169.0
0000000000000000000000a8,5294,3,379.0
0000000000000000000000a8,1414,2,249.9
0000000000000000000000a9,2318,2,88.0
0000000000000000000000aa,775,3,159.0
0000000000000000000000ab,2731,3,279.0
0000000000000000000000ab,668,1,287.99
0000000000000000000000ab,4774,2,77.94
0000000000000000000000ac,695,3,199.0
0000000000000000000000ac,2537,2,199.0
0000000000000000000000ad,5493,2,39.9
0000000000000000000000ae,3984,1,599.9
0000000000000000000000af,4422,1,39.0
0000000000000000000000af,4314,3,69.99
0000000000000000000000b0,1482,3,289.0
0000000000000000000000b1,2985,3,1349.0
0000000000000000000000b2,1960,2,1099.0
0000000000000000000000b3,4673,2,329.0
0000000000000000000000b4,1328,3,159.9
0000000000000000000000b4,1636,1,489.9
0000000000000000000000b5,841,1,636.0
0000000000000000000000b5,4227,2,169.0
0000000000000000000000b6,3584,1,94.9
0000000000000000000000b7,3399,2,110.0
0000000000000000000000b7,437,1,2299.0
0000000000000000000000b7,3248,2,999.0
0000000000000000000000b7,4113,1,35.9
0000000000000000000000b8,1128,2,359.0
0000000000000000000000b8,314,3,4019.0
0000000000000000000000b8,2351,1,89.9
0000000000000000000000b9,1767,1,1148.0
0000000000000000000000ba,1947,1,939.0
0000000000000000000000ba,2468,1,79.0
0000000000000000000000ba,999,2,699.0
0000000000000000000000bb,135,3,489.0
0000000000000000000000bb,5177,3,169.0
0000000000000000000000bc,3413,1,1099.9
0000000000000000000000bd,4458,1,23.9
0000000000000000000000bd,4157,2,28.0
0000000000000000000000bd,4159,2,59.0
0000000000000000000000bd,4540,1,44.9
0000000000000000000000be,554,2,39.0
0000000000000000000000bf,2724,2,549.0
0000000000000000000000bf,1093,3,1829.0
0000000000000000000000bf,364,2,899.0
0000000000000000000000c0,3921,1,529.0
0000000000000000000000c0,5176,3,145.0
0000000000000000000000c0,1494,2,5999.0
0000000000000000000000c0,1105,1,370.0
0000000000000000000000c1,2541,3,197.0
0000000000000000000000c2,1566,1,479.0
0000000000000000000000c2,2344,3,299.0
0000000000000000000000c2,2925,2,2361.0
0000000000000000000000c3,3168,2,2799.0
0000000000000000000000c3,2778,3,27.9
0000000000000000000000c3,1531,2,89.9
0000000000000000000000c4,647,1,169.0
0000000000000000000000c4,3528,3,49.9
0000000000000000000000c4,4936,2,249.0
0000000000000000000000c5,3491,3,129.0
0000000000000000000000c5,1366,2,137.0
0000000000000000000000c6,3564,3,10.49
0000000000000000000000c6,2250,1,339.0
0000000000000000000000c7,1170,1,579.0
0000000000000000000000c7,4978,1,89.9
0000000000000000000000c7,5555,1,93.9
0000000000000000000000c7,3590,1,15.5
0000000000000000000000c8,1257,3,4999.0
0000000000000000000000c9,4338,2,88.9
0000000000000000000000c9,3007,2,2499.0
0000000000000000000000ca,3171,1,4999.9
0000000000000000000000ca,4602,2,24.99
0000000000000000000000cb,4024,1,1799.0
0000000000000000000000cb,1640,1,499.0
0000000000000000000000cc,5587,3,280.0
0000000000000000000000cc,2619,1,349.0
0000000000000000000000cc,5471,3,86.9
0000000000000000000000cc,2847,3,209.0
0000000000000000000000cd,4168,1,75.0
0000000000000000000000cd,1837,1,1299.0
0000000000000000000000cd,995,1,779.0
0000000000000000000000ce,4520,3,49.9
0000000000000000000000ce,1064,1,609.0
0000000000000000000000cf,3355,1,2439.0
0000000000000000000000cf,4710,1,134.0
0000000000000000000000d0,4517,3,42.9
0000000000000000000000d1,454,2,479.0
0000000000000000000000d1,1018,1,529.0
0000000000000000000000d1,4245,1,89.9
0000000000000000000000d1,1254,2,319.0
0000000000000000000000d2,647,3,169.0
0000000000000000000000d2,2053,3,849.0
0000000000000000000000d2,1609,2,139.01
0000000000000000000000d3,4849,1,34.93
0000000000000000000000d3,4757,1,250.0
0000000000000000000000d4,233,1,949.0
0000000000000000000000d5,3413,1,1099.9
0000000000000000000000d5,5064,2,20.93
0000000000000000000000d5,5235,3,9.9
0000000000000000000000d6,5612,2,259.0
0000000000000000000000d6,3327,1,500.5
0000000000000000000000d6,2437,3,2090.0
0000000000000000000000d7,1177,2,709.0
0000000000000000000000d8,1072,1,440.0
0000000000000000000000d8,3036,2,1649.0
0000000000000000000000d8,4219,1,99.0
0000000000000000000000d8,4602,2,24.99
0000000000000000000000d9,3147,3,3889.0
0000000000000000000000da,2562,3,154.9
0000000000000000000000da,1556,2,4099.0
0000000000000000000000da,1306,2,99.9
0000000000000000000000da,4082,2,239.0
0000000000000000000000db,1763,1,729.0
0000000000000000000000db,4779,2,99.96
0000000000000000000000db,2891,2,899.0
0000000000000000000000db,399,3,1948.0
0000000000000000000000dc,881,2,2189.0
0000000000000000000000dd,3282,1,279.9
0000000000000000000000de,3690,3,1379.0
0000000000000000000000df,793,2,149.0
0000000000000000000000e0,1631,2,159.0
0000000000000000000000e0,4936,3,249.0
0000000000000000000000e0,4171,1,99.9
0000000000000000000000e1,1221,3,1185.0
0000000000000000000000e1,4967,1,99.9
0000000000000000000000e2,4156,3,25.0
0000000000000000000000e2,4176,2,99.9
0000000000000000000000e3,898,2,148.0
0000000000000000000000e4,2176,3,389.0
0000000000000000000000e4,5371,3,119.0
0000000000000000000000e5,5077,1,59.9
0000000000000000000000e5,3115,3,569.99
0000000000000000000000e6,2570,2,289.0
0000000000000000000000e7,511,1,125.0
0000000000000000000000e7,1132,3,1999.0
0000000000000000000000e7,4250,2,25.9
0000000000000000000000e8,4368,3,70.0
0000000000000000000000e8,2805,2,131.9
0000000000000000000000e9,1576,2,549.0
0000000000000000000000e9,2020,3,1079.0
0000000000000000000000ea,5655,2,169.0
0000000000000000000000ea,4006,2,400.0
0000000000000000000000ea,2598,3,399.0
0000000000000000000000eb,4450,2,23.9
0000000000000000000000eb,3111,2,3299.0
0000000000000000000000ec,648,2,209.0
0000000000000000000000ec,2838,3,249.0
0000000000000000000000ec,3624,2,1.0
0000000000000000000000ec,5374,1,89.0
0000000000000000000000ed,5044,3,49.9
0000000000000000000000ee,1908,1,709.0
0000000000000000000000ef,4509,1,42.9
0000000000000000000000f0,2354,2,99.0
0000000000000000000000f0,2632,3,104.9
0000000000000000000000f1,306,2,3399.0
0000000000000000000000f1,1435,1,329.0
0000000000000000000000f2,2372,1,194.0
0000000000000000000000f3,5254,3,159.0
0000000000000000000000f4,1580,2,209.0
0000000000000000000000f4,923,1,419.0
0000000000000000000000f5,2417,1,67.2
0000000000000000000000f5,4652,1,71.9
0000000000000000000000f5,5525,3,32.9
0000000000000000000000f6,3284,3,879.9
0000000000000000000000f7,3143,1,3629.0
0000000000000000000000f8,94,2,469.0
0000000000000000000000f8,2143,3,1899.0
0000000000000000000000f8,5355,1,139.0
0000000000000000000000f9,2548,1,199.0
0000000000000000000000f9,5655,3,169.0
0000000000000000000000fa,3918,2,529.0
0000000000000000000000fa,1255,2,499.0
0000000000000000000000fa,3728,3,799.9
0000000000000000000000fa,4963,3,53.9
0000000000000000000000fb,5574,3,390.0
0000000000000000000000fb,4881,2,20.93
0000000000000000000000fb,671,3,1549.0
0000000000000000000000fc,4141,3,100.0
0000000000000000000000fc,1657,1,1549.0
0000000000000000000000fc,4692,1,96.9
0000000000000000000000fd,4005,2,160.0
0000000000000000000000fd,745,1,149.0
0000000000000000000000fd,4181,2,79.0
0000000000000000000000fe,2525,2,329.9
0000000000000000000000fe,179,2,3999.0
0000000000000000000000ff,523,1,1319.0
0000000000000000000000ff,4434,1,36.0
000000000000000000000100,5256,2,159.0
000000000000000000000100,5292,2,340.9
000000000000000000000100,3444,2,2199.0
000000000000000000000101,2849,1,199.0
000000000000000000000102,187,3,3099.0
000000000000000000000102,2445,3,228.1
000000000000000000000102,3793,3,1099.0
000000000000000000000103,2259,1,369.0
000000000000000000000104,129,1,1429.0
000000000000000000000104,1972,1,74.99
000000000000000000000105,363,2,899.0
000000000000000000000106,2370,1,39.9
000000000000000000000107,2627,1,329.0
000000000000000000000107,1941,3,1889.0
000000000000000000000107,2473,3,69.0
000000000000000000000108,1435,2,329.0
000000000000000000000108,5129,3,235.0
000000000000000000000108,5561,2,349.0
000000000000000000000109,2612,1,39.0
000000000000000000000109,3411,2,450.0
000000000000000000000109,3345,2,79.9
00000000000000000000010a,1183,2,649.99
00000000000000000000010b,3182,2,3499.0
00000000000000000000010b,1990,1,1499.0
00000000000000000000010c,1561,1,379.0
00000000000000000000010d,4814,3,149.9
00000000000000000000010e,126,1,429.0
00000000000000000000010f,5699,1,89.0
00000000000000000000010f,4952,3,69.9
00000000000000000000010f,1676,2,1850.0
00000000000000000000010f,3250,2,999.0
000000000000000000000110,4074,2,189.0
000000000000000000000111,3037,3,1649.0
000000000000000000000111,2564,1,154.9
000000000000000000000111,3391,3,800.0
000000000000000000000111,375,1,469.0
000000000000000000000112,1608,2,949.0
000000000000000000000113,5611,2,299.0
000000000000000000000113,2766,2,319.0
000000000000000000000114,2886,3,1479.0
000000000000000000000114,1387,3,209.0
000000000000000000000114,1147,2,919.0
000000000000000000000115,609,1,99.0
000000000000000000000115,5475,1,12.99
000000000000000000000116,4143,2,109.9
000000000000000000000117,129,3,1429.0
000000000000000000000117,55,3,499.0
000000000000000000000118,141,1,1189.0
000000000000000000000118,4115,1,36.0
000000000000000000000118,5522,1,20.9
000000000000000000000118,3528,3,49.9
000000000000000000000119,3252,1,979.0
00000000000000000000011a,661,3,169.0
00000000000000000000011b,4528,2,49.9
00000000000000000000011c,5284,1,976.35
00000000000000000000011c,2714,3,489.0
00000000000000000000011c,4636,1,109.9
00000000000000000000011d,382,3,434.9
00000000000000000000011d,610,2,699.0
00000000000000000000011e,1698,3,1899.0
00000000000000000000011f,4620,1,899.0
000000000000000000000120,1147,3,919.0
000000000000000000000121,1902,1,1499.0
000000000000000000000122,2674,2,499.0
000000000000000000000122,243,2,3389.0
000000000000000000000122,5195,1,102.9
000000000000000000000122,2240,2,599.0
000000000000000000000123,703,2,99.99
000000000000000000000123,5068,1,95.0
000000000000000000000124,2595,1,329.0
000000000000000000000124,2955,1,2799.0
000000000000000000000124,873,2,1044.9
000000000000000000000125,3677,3,1399.0
000000000000000000000126,4891,2,48.93
000000000000000000000126,4900,2,499.9
000000000000000000000127,1989,3,1499.0
000000000000000000000127,4686,2,77.9
000000000000000000000127,4269,1,49.9
000000000000000000000127,1390,1,459.0
000000000000000000000128,3450,2,679.0
000000000000000000000128,2456,1,236.1
000000000000000000000129,1602,1,259.0
000000000000000000000129,3751,1,109.0
00000000000000000000012a,2700,2,83.9
00000000000000000000012a,3607,3,399.0
00000000000000000000012a,2743,3,249.0
00000000000000000000012b,1456,2,69.9
00000000000000000000012b,3263,2,2945.0
00000000000000000000012c,2297,2,399.0
00000000000000000000012d,4507,1,42.9
00000000000000000000012e,5676,3,265.0
00000000000000000000012e,567,2,89.0
00000000000000000000012e,3352,1,2309.0
00000000000000000000012f,606,2,239.0
00000000000000000000012f,3679,3,1599.0
00000000000000000000012f,4899,2,127.92
000000000000000000000130,2946,3,3499.0
000000000000000000000130,4399,3,62.0
000000000000000000000131,5020,1,41.93
000000000000000000000132,3527,2,44.9
000000000000000000000132,868,1,1005.9
000000000000000000000132,87,3,389.0
000000000000000000000132,808,3,1299.0
000000000000000000000133,3794,3,1099.0
000000000000000000000134,2421,1,49.8
000000000000000000000134,3408,1,480.0
000000000000000000000135,1695,2,1699.0
000000000000000000000135,4269,2,49.9
000000000000000000000136,367,3,1499.0
000000000000000000000137,1999,1,748.0
000000000000000000000137,4228,2,98.9
000000000000000000000137,1430,3,469.0
000000000000000000000137,4522,2,49.9
000000000000000000000138,5385,2,439.9
000000000000000000000139,3186,3,299.9
000000000000000000000139,37,1,599.0
00000000000000000000013a,4399,2,62.0
00000000000000000000013a,1532,2,89.9
00000000000000000000013b,5236,3,9.9
00000000000000000000013b,2568,2,299.0
00000000000000000000013c,5519,3,79.0
00000000000000000000013c,2437,3,2090.0
00000000000000000000013d,3059,3,1390.0
00000000000000000000013e,1522,2,239.0
00000000000000000000013f,4012,1,139.9
00000000000000000000013f,2367,1,39.0
000000000000000000000140,3970,3,235.9
000000000000000000000140,1119,3,548.0
000000000000000000000140,1599,3,169.0
000000000000000000000140,3146,2,4149.0
000000000000000000000141,678,1,98.5
000000000000000000000141,4632,1,199.0
000000000000000000000142,4634,3,199.9
000000000000000000000142,4058,1,69.9
000000000000000000000142,4504,3,119.9
000000000000000000000143,341,3,919.0
000000000000000000000143,3616,1,1899.0
000000000000000000000144,265,2,11949.0
000000000000000000000145,1942,3,1279.0
000000000000000000000145,1720,2,230.0
000000000000000000000145,4817,3,139.9
000000000000000000000146,487,3,119.0
000000000000000000000146,4671,2,329.0
000000000000000000000146,2874,3,99.0
000000000000000000000147,4215,1,79.9
000000000000000000000147,5565,1,320.0
000000000000000000000148,1040,1,859.0
000000000000000000000148,1088,3,799.0
000000000000000000000148,2046,2,2599.0
000000000000000000000149,5181,2,179.0
00000000000000000000014a,2280,2,144.9
00000000000000000000014a,5692,2,10.0
00000000000000000000014b,3756,3,640.0
00000000000000000000014b,5201,2,65.0
00000000000000000000014b,5441,1,29.9
00000000000000000000014c,2645,2,35.9
00000000000000000000014c,2324,3,340.1
00000000000000000000014d,397,3,899.0
00000000000000000000014d,377,2,499.0
00000000000000000000014d,816,1,681.9
00000000000000000000014e,3505,3,99.0
00000000000000000000014e,1658,2,1549.0
00000000000000000000014e,5641,1,330.0
00000000000000000000014e,1081,2,499.0
00000000000000000000014f,5125,2,89.9
000000000000000000000150,9,1,459.0
000000000000000000000150,1749,1,1029.0
000000000000000000000150,3907,3,329.0
000000000000000000000151,3460,2,1638.0
000000000000000000000151,5686,1,41.94
000000000000000000000151,1083,1,1060.0
000000000000000000000152,2452,1,290.1
000000000000000000000153,4615,1,212.0
000000000000000000000154,1241,3,159.0
000000000000000000000154,3373,3,520.0
000000000000000000000155,4830,2,114.99
000000000000000000000155,3146,2,4149.0
000000000000000000000155,2880,1,49.9
000000000000000000000156,4978,3,89.9
000000000000000000000156,2335,1,129.0
000000000000000000000157,1546,2,229.0
000000000000000000000157,3210,3,420.0
000000000000000000000158,1975,2,20.0
000000000000000000000159,2593,2,289.0
000000000000000000000159,1082,2,1199.0
000000000000000000000159,3169,3,4999.0
000000000000000000000159,4657,3,149.9
00000000000000000000015a,554,1,39.0
00000000000000000000015b,5150,2,90.93
00000000000000000000015b,4105,2,115.0
00000000000000000000015c,2539,1,199.0
00000000000000000000015d,4805,3,59.9
00000000000000000000015e,1955,1,1999.0
00000000000000000000015e,475,1,1149.9
00000000000000000000015f,5391,3,2499.0
000000000000000000000160,2841,3,29.8
000000000000000000000161,2202,3,299.0
000000000000000000000162,524,2,179.0
000000000000000000000163,455,3,479.0
000000000000000000000163,4093,1,249.0
000000000000000000000164,945,3,899.0
000000000000000000000164,1872,3,2149.0
000000000000000000000165,3138,1,3369.0
000000000000000000000165,1230,1,69.9
000000000000000000000166,2034,2,249.0
000000000000000000000167,4113,3,35.9
000000000000000000000168,565,2,131.9
000000000000000000000168,3811,1,1389.0
000000000000000000000168,2313,3,124.9
000000000000000000000168,2546,2,299.0
000000000000000000000169,1988,3,999.0
000000000000000000000169,3801,2,890.0
000000000000000000000169,3017,1,3999.0
00000000000000000000016a,3360,1,2589.0
00000000000000000000016b,12,1,139.9
00000000000000000000016b,5385,1,439.9
00000000000000000000016b,3083,3,3909.0
